response time (ms), current time
121.204716, 3280004.400324
121.173320, 3285000.867679
121.130717, 3290000.152222
121.115593, 3295000.310630
121.095086, 3300001.525179
121.097366, 3305003.044134
121.066893, 3310007.417164
121.047420, 3315005.286679
121.007939, 3320000.852252
120.973891, 3325006.916859
120.995867, 3330005.662458
120.961328, 3335004.812492
120.958385, 3340003.494411
120.913169, 3345000.432846
120.915489, 3350015.733916
120.920100, 3355001.648752
120.882552, 3360002.344684
120.922291, 3365000.899108
120.983060, 3370003.095612
121.025379, 3375015.492982
121.037678, 3380001.168003
121.021552, 3385004.555448
121.058437, 3390000.279194
121.078374, 3395002.885578
121.137113, 3400002.682252
121.116452, 3405005.210678
121.114272, 3410012.643911
121.208777, 3415001.290008
121.202198, 3420006.511058
121.171614, 3425001.729077
121.146578, 3430004.678434
121.159568, 3435002.428196
121.176400, 3440005.736961
121.146526, 3445000.910127
121.140416, 3450003.046503
121.132695, 3455001.854773
121.141707, 3460002.383166
121.104977, 3465010.941740
121.073952, 3470000.347045
121.052718, 3475002.714512
121.029823, 3480000.225083
120.993829, 3485005.994343
120.966136, 3490000.661084
120.925984, 3495002.416281
120.896063, 3500002.929360
120.856640, 3505000.298304
120.894782, 3510000.391262
120.852187, 3515000.537079
120.860585, 3520004.863439
120.838675, 3525000.152721
120.834411, 3530005.322253
121.101001, 3535004.953608
121.243709, 3540000.301586
121.225663, 3545005.320018
121.215405, 3550000.488841
121.185631, 3555004.652217
121.153919, 3560003.966627
121.114735, 3565000.407600
121.072118, 3570000.563036
121.067565, 3575001.311673
121.029801, 3580005.960937
120.987996, 3585004.046878
120.963822, 3590004.512847
120.946738, 3595008.577998
52.993381, 316.511687
208.503452, 5000.783690
170.929430, 10006.273960
151.933236, 15004.076260
146.435119, 20007.990816
136.115052, 25005.977241
136.237593, 30009.966493
132.886279, 35005.113391
136.186952, 40002.120822
141.746867, 45001.898537
137.461410, 50000.245106
136.255272, 55000.376711
145.190047, 60002.075411
145.512631, 65003.314474
143.131937, 70005.828049
141.673334, 75001.270827
139.395644, 80001.091635
137.306812, 85001.297378
135.349904, 90005.370171
134.518300, 95002.288637
133.675930, 100000.347135
132.203698, 105000.110378
131.924419, 110001.156506
132.093997, 115001.437391
130.893943, 120005.648299
129.982158, 125001.344709
129.746969, 130000.952637
130.529096, 135000.452435
130.951292, 140003.825198
129.905084, 145020.966290
128.916465, 150001.200323
128.351133, 155001.546882
127.568214, 160005.989325
127.772465, 165004.283595
126.711873, 170000.725273
125.935046, 175001.839327
125.181077, 180004.819066
124.394269, 185001.075580
