sim. n : 0
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 89883.000000 , 74594.000000 , 0.000000 , 48.261044 , 29.082052 , 0.000000 , 35.044938 , 0.020721 , 0.028535 , 0.020721 , 0.331205 , 0.363077 , 0.000000 
 165885.000000 , 165885.000000 , 0.000000 , 21.701687 , 54.766373 , 24.754097 , 30.012276 , 0.046079 , 0.033320 , 0.033320 , 0.532592 , 0.691473 , 0.000000 
 44037.000000 , 44037.000000 , 4.000000 , 81.749082 , 76.850775 , 36.788071 , 40.063920 , 0.012233 , 0.024960 , 0.012233 , 0.195529 , 0.490084 , 0.000000 
 209917.000000 , 209917.000000 , 0.000000 , 17.149561 , 38.291894 , 3.163923 , 35.128276 , 0.058311 , 0.028467 , 0.028467 , 0.455027 , 0.512087 , 0.000000 
 209914.000000 , 209914.000000 , 0.000000 , 17.149806 , 9.977096 , 0.000000 , 9.977129 , 0.058310 , 0.100229 , 0.058310 , 0.932040 , 0.581763 , 0.000000 
sim. n : 13
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224917.000000 , 224917.000000 , 5.000000 , 16.005833 , 249.135976 , 234.115807 , 15.020254 , 0.062477 , 0.066577 , 0.062477 , 1.000000 , 0.938424 , 0.000000 
 90134.000000 , 74751.000000 , 0.000000 , 48.159677 , 29.214041 , 0.000000 , 35.225996 , 0.020764 , 0.028388 , 0.020764 , 0.332349 , 0.365721 , 0.000000 
 165191.000000 , 165191.000000 , 3.000000 , 21.792858 , 55.802968 , 25.789227 , 30.014122 , 0.045887 , 0.033318 , 0.033318 , 0.533277 , 0.688623 , 0.000000 
 44337.000000 , 44337.000000 , 0.000000 , 81.195931 , 78.281260 , 38.306561 , 39.974700 , 0.012316 , 0.025016 , 0.012316 , 0.197126 , 0.492324 , 0.000000 
 209523.000000 , 209523.000000 , 2.000000 , 17.181808 , 38.324270 , 3.190213 , 35.134584 , 0.058201 , 0.028462 , 0.028462 , 0.455558 , 0.511218 , 0.000000 
 209517.000000 , 209517.000000 , 0.000000 , 17.182300 , 9.984819 , 0.000000 , 9.984850 , 0.058199 , 0.100152 , 0.058199 , 0.931530 , 0.581113 , 0.000000 
sim. n : 14
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225100.000000 , 225100.000000 , 2.000000 , 15.992880 , 243.026287 , 228.055230 , 14.971112 , 0.062528 , 0.066795 , 0.062528 , 1.000000 , 0.936111 , 0.000000 
 90135.000000 , 74692.000000 , 0.000000 , 48.197896 , 29.153666 , 0.000000 , 35.181354 , 0.020748 , 0.028424 , 0.020748 , 0.331817 , 0.364968 , 0.000000 
 165764.000000 , 165764.000000 , 1.000000 , 21.717606 , 56.377761 , 26.293833 , 30.084394 , 0.046046 , 0.033240 , 0.033240 , 0.531601 , 0.692627 , 0.000000 
 43890.000000 , 43890.000000 , 1.000000 , 82.023177 , 76.595225 , 36.589368 , 40.007504 , 0.012192 , 0.024995 , 0.012192 , 0.194980 , 0.487759 , 0.000000 
 209649.000000 , 209649.000000 , 0.000000 , 17.171545 , 38.203455 , 3.187389 , 35.016380 , 0.058236 , 0.028558 , 0.028558 , 0.456726 , 0.509802 , 0.000000 
 209646.000000 , 209646.000000 , 0.000000 , 17.171791 , 10.011527 , 0.000000 , 10.011606 , 0.058235 , 0.099884 , 0.058235 , 0.931346 , 0.583026 , 0.000000 
sim. n : 15
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 224967.000000 , 224967.000000 , 45.000000 , 16.002211 , 222.366999 , 207.391599 , 14.975504 , 0.062491 , 0.066776 , 0.062491 , 1.000000 , 0.935840 , 0.000000 
 89727.000000 , 74650.000000 , 0.000000 , 48.224639 , 29.096459 , 0.000000 , 34.973047 , 0.020736 , 0.028593 , 0.020736 , 0.331826 , 0.362606 , 0.000000 
 165571.000000 , 165571.000000 , 1.000000 , 21.742753 , 55.668467 , 25.699485 , 29.969129 , 0.045992 , 0.033368 , 0.033368 , 0.533956 , 0.689175 , 0.000000 
 44273.000000 , 44273.000000 , 0.000000 , 81.312975 , 79.102657 , 39.155839 , 39.947845 , 0.012298 , 0.025033 , 0.012298 , 0.196798 , 0.491285 , 0.000000 
 209840.000000 , 209840.000000 , 0.000000 , 17.155782 , 37.999391 , 3.050188 , 34.949203 , 0.058289 , 0.028613 , 0.028613 , 0.457871 , 0.509292 , 0.000000 
 209840.000000 , 209840.000000 , 0.000000 , 17.155782 , 10.030267 , 0.000000 , 10.030410 , 0.058289 , 0.099697 , 0.058289 , 0.932759 , 0.584666 , 0.000000 
sim. n : 16
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225223.000000 , 225223.000000 , 11.000000 , 15.984140 , 230.495776 , 215.512773 , 14.983025 , 0.062562 , 0.066742 , 0.062562 , 1.000000 , 0.937368 , 0.000000 
 89702.000000 , 74484.000000 , 0.000000 , 48.332472 , 29.308561 , 0.000000 , 35.296961 , 0.020690 , 0.028331 , 0.020690 , 0.330712 , 0.365147 , 0.000000 
 165848.000000 , 165848.000000 , 0.000000 , 21.706598 , 55.669643 , 25.640001 , 30.029674 , 0.046069 , 0.033300 , 0.033300 , 0.532278 , 0.691718 , 0.000000 
 44144.000000 , 44144.000000 , 0.000000 , 81.551193 , 76.832094 , 36.927801 , 39.904292 , 0.012262 , 0.025060 , 0.012262 , 0.196001 , 0.489316 , 0.000000 
 209991.000000 , 209991.000000 , 0.000000 , 17.143572 , 38.244982 , 3.192266 , 35.053281 , 0.058331 , 0.028528 , 0.028528 , 0.455996 , 0.511172 , 0.000000 
 209988.000000 , 209988.000000 , 0.000000 , 17.143817 , 9.983679 , 0.000000 , 9.983709 , 0.058330 , 0.100163 , 0.058330 , 0.932356 , 0.582350 , 0.000000 
sim. n : 17
arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 225409.000000 , 225409.000000 , 35.000000 , 15.970917 , 231.088963 , 216.097610 , 14.991503 , 0.062614 , 0.066704 , 0.062614 , 1.000000 , 0.938675 , 0.000000 
 90285.000000 , 74876.000000 , 0.000000 , 48.079338 , 29.164755 , 0.000000 , 35.166675 , 0.020799 , 0.028436 , 0.020799 , 0.332178 , 0.365715 , 0.000000 
